Nível,Código,equivalencia,nome
1º Nível,ECT2101,ECT1111 OU ECT1101 OU ECT3101,PRÉ-CÁLCULO
1º Nível,ECT2102,ECT1112 E ECT1211  OU  ECT1101  OU  ECT3102,VETORES E GEOMETRIA ANALÍTICA
1º Nível,ECT2103,ECT1113  OU  ECT1102  OU  ECT3207,CÁLCULO I
1º Nível,ECT2104,ECT1104  OU  ECT3206  OU  ECT3301,QUÍMICA GERAL
1º Nível,ECT2105,ECT1105  OU  ECT3105,PRÁTICAS DE LEITURA E ESCRITA I
1º Nível,ECT2106,ECT1106  OU  ECT3106,"CIÊNCIA, TECNOLOGIA E SOCIEDADE"
2º Nível,ECT2201,ECT1212  OU  ECT1202  OU  ECT3302,CÁLCULO II
2º Nível,ECT2202,ECT1211  OU  ECT1201  OU  ECT3202,ÁLGEBRA LINEAR
2º Nível,ECT2203,ECT1103  OU  ECT3104,LÓGICA DE PROGRAMAÇÃO
2º Nível,ECT2204,ECT1214  OU  ECT1204  OU  FIS0311  OU  ECT3306,INTRODUÇÃO À FÍSICA CLÁSSICA I
2º Nível,ECT2205,ECT1205  OU  IMD0026  OU  ECT3205,PRÁTICAS DE LEITURA E ESCRITA II
2º Nível,ECT2206,ECT3303,"GESTÃO E ECONOMIA DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO"
2º Nível,ECT2207,ECT1301  OU  ECT3304,PROBABILIDADE E ESTATÍSTICA
3º Nível,ECT2301,ECT1312  OU  ECT3402,CÁLCULO III
3º Nível,ECT2302,ECT3103,METODOLOGIA CIENTÍFICA E TECNOLÓGICA
3º Nível,ECT2303,ECT1203  OU  ECT3201,LINGUAGEM DE PROGRAMAÇÃO
3º Nível,ECT2304,ECT1314  OU  ECT1304  OU  ECT3621 E ECT3626,INTRODUÇÃO À FÍSICA CLÁSSICA II
3º Nível,ECT2305,ECT1307 OU ECT3305,PRÁTICA DE LEITURA EM INGLÊS
3º Nível,ECT2306,ECT1206  OU  ECT3203,MEIO AMBIENTE E DESENVOLVIMENTO URBANO
3º Nível,ECT2307,ECT1214  OU  ECT1204  OU  ECT3204,FÍSICA EXPERIMENTAL I
4º Nível,ECT2401,ECT1303  OU  ECT3401  OU  ECT3401,COMPUTAÇÃO NUMÉRICA
4º Nível,ECT2402,ECT1315  OU  ECT1305  OU  ECT3622,INTRODUÇÃO À FÍSICA CLÁSSICA III
4º Nível,ECT2403,ECT1314 E ECT1315  OU  ECT1304 E ECT1305  OU  ECT1314 E ECT1305  OU  ECT1315 E ECT1304,FÍSICA EXPERIMENTAL II
